"BLOCK","QUESTION","OPTIONS","EXCLUSIVE","FREETEXT","REJECT","ORDERED","BRANCH"
3,"Why do you complete tasks in Mechanical Turk? Please check any of the following that applies: ","Fruitful way to spend free time and get some cash (e.g., instead of watching TV).","FALSE",,,,
3,,"For “primary” income purposes (e.g., gas, bills, groceries, credit cards).","FALSE",,,,
3,,"For “secondary” income purposes, pocket change (for hobbies, gadgets, going out).","FALSE",,,,
3,,"To kill time.","FALSE",,,,
3,,"I find the tasks to be fun.","FALSE",,,,
3,,"I am currently unemployed, or have only a part time job.","FALSE",,,,
3,"Has the recession affected your decision to participate on MTurk?","Yes",,,,,
3,,"No",,,,,
3,"Has the recession affected your level of participation on MTurk? ","Yes",,,,,
3,,"No",,,,,
3,"For how long have you been working on Amazon Mechanical Turk?","< 6 mos.",,,,"TRUE",
3,,"6mos – 1yr",,,,"TRUE",
3,,"1-2yrs",,,,"TRUE",
3,,"2-3yrs",,,,"TRUE",
3,,"3-5yrs",,,,"TRUE",
3,,"5-7yrs",,,,"TRUE",
3,,"7-9yrs",,,,"TRUE",
3,,"9-15yrs",,,"TRUE","TRUE",
3,,"15+ yrs",,,"TRUE","TRUE",
3,"How much do you earn per week on Mechanical Turk? ","Less than $1 per week.",,,,"TRUE",
3,,"$1-$5 per week.",,,,"TRUE",
3,,"$5-$10 per week.",,,,"TRUE",
3,,"$10-$20 per week.",,,,"TRUE",
3,,"$20-$50 per week.",,,,"TRUE",
3,,"$50-$100 per week.",,,,"TRUE",
3,,"$100-$200 per week.",,,,"TRUE",
3,,"$200-$500 per week.",,,,"TRUE",
3,,"More than $500 per week.",,,,"TRUE",
3,"How much time do you spend per week on Mechanical Turk? ","Less than 1 hour per week.",,,,"TRUE",
3,,"1-2 hours per week.",,,,"TRUE",
3,,"2-4 hours per week.",,,,"TRUE",
3,,"4-8 hours per week.",,,,"TRUE",
3,,"8-20 hours per week.",,,,"TRUE",
3,,"20-40 hours per week.",,,,"TRUE",
3,,"More than 40 hours per week.",,,,"TRUE",
3,"How many HITs do you complete per week on Mechanical Turk?","Less than 1 HIT per week.",,,,"TRUE",
3,,"1-5 HITs per week.",,,,"TRUE",
3,,"5-10 HITs per week.",,,,"TRUE",
3,,"10-20 HITs per week.",,,,"TRUE",
3,,"20-50 HITs per week.",,,,"TRUE",
