responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,CORRELATION
sr2,A14CLZWROI8UCS,survey1,q_381_2,Please say both words aloud. Which one would you say?,21,comp_383_3,probably placebo-athon,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_113_2,Please say both words aloud. Which one would you say?,57,comp_113_3,definitely orthodonist-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_77_2,Please say both words aloud. Which one would you say?,48,comp_78_3,probably omelet-licious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_369_2,Please say both words aloud. Which one would you say?,59,comp_371_3,probably antenna-athon,2,schwa
sr2,A14CLZWROI8UCS,survey1,q_289_2,Please say both words aloud. Which one would you say?,24,comp_292_3,definitely cuba-athon,3,schwa
sr2,A14CLZWROI8UCS,survey1,q_133_2,Please say both words aloud. Which one would you say?,18,comp_134_3,probably detective-licious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_389_2,Please say both words aloud. Which one would you say?,26,comp_390_3,probably miami-thon,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_53_2,Please say both words aloud. Which one would you say?,39,comp_54_3,probably marine-licious,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_153_2,Please say both words aloud. Which one would you say?,36,comp_153_3,definitely silverware-licious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_157_2,Please say both words aloud. Which one would you say?,44,comp_158_3,probably universe-licious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_73_2,Please say both words aloud. Which one would you say?,37,comp_75_3,probably patrick-alicious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_201_2,Please say both words aloud. Which one would you say?,6,comp_203_3,probably corvette-athon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_197_2,Please say both words aloud. Which one would you say?,16,comp_197_3,definitely miami-licious,0,vowel
sr2,A14CLZWROI8UCS,survey1,q_13_2,Please say both words aloud. Which one would you say?,9,comp_15_3,probably stampede-alicious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_81_2,Please say both words aloud. Which one would you say?,42,comp_82_3,probably chili-licious,1,vowel
sr2,A14CLZWROI8UCS,survey1,q_49_2,Please say both words aloud. Which one would you say?,61,comp_51_3,probably cologne-alicious,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_221_2,Please say both words aloud. Which one would you say?,34,comp_224_3,definitely cayenne-athon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_241_2,Please say both words aloud. Which one would you say?,35,comp_244_3,definitely cologne-athon,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_333_2,Please say both words aloud. Which one would you say?,27,comp_334_3,probably eleven-thon,1,consonant
sr2,A14CLZWROI8UCS,survey1,q_281_2,Please say both words aloud. Which one would you say?,67,comp_282_3,probably hero-thon,2,vowel
sr2,A14CLZWROI8UCS,survey1,q_45_2,Please say both words aloud. Which one would you say?,55,comp_45_3,definitely japan-licious,0,consonant
sr2,A14CLZWROI8UCS,survey1,q_85_2,Please say both words aloud. Which one would you say?,2,comp_85_3,definitely mayo-licious,3,vowel
sr2,A14CLZWROI8UCS,survey1,q_117_2,Please say both words aloud. Which one would you say?,76,comp_120_3,definitely meditation-alicious,3,consonant
sr2,A14CLZWROI8UCS,survey1,q_365_2,Please say both words aloud. Which one would you say?,28,comp_367_3,probably antidote-athon,2,consonant
sr2,A14CLZWROI8UCS,survey1,q_149_2,Please say both words aloud. Which one would you say?,52,comp_149_3,definitely asylum-licious,3,consonant
