Block,Question,Options,ordered,freetext,CORRELATION
1,What is your age?,18-25,yes,,
1,,26-35,yes,,
1,,36-45,yes,,
1,,46-65,yes,,
1,,66+,yes,,
1,Are you a native speaker of English?,Yes,no,,
1,,No,no,,
2,Please say both words aloud. Which one would you say?,definitely corvette-licious,yes,,consonant
2,,probably corvette-licious,yes,,
2,,probably corvette-alicious,yes,,
2,,definitely corvette-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely stampede-licious,yes,,consonant
2,,probably stampede-licious,yes,,
2,,probably stampede-alicious,yes,,
2,,definitely stampede-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely berlin-licious,yes,,consonant
2,,probably berlin-licious,yes,,
2,,probably berlin-alicious,yes,,
2,,definitely berlin-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely typhoon-licious,yes,,consonant
2,,probably typhoon-licious,yes,,
2,,probably typhoon-alicious,yes,,
2,,definitely typhoon-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely champagne-licious,yes,,consonant
2,,probably champagne-licious,yes,,
2,,probably champagne-alicious,yes,,
2,,definitely champagne-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely cayenne-licious,yes,,consonant
2,,probably cayenne-licious,yes,,
2,,probably cayenne-alicious,yes,,
2,,definitely cayenne-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely estate-licious,yes,,consonant
2,,probably estate-licious,yes,,
2,,probably estate-alicious,yes,,
2,,definitely estate-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely grenade-licious,yes,,consonant
2,,probably grenade-licious,yes,,
2,,probably grenade-alicious,yes,,
2,,definitely grenade-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely balloon-licious,yes,,consonant
2,,probably balloon-licious,yes,,
2,,probably balloon-alicious,yes,,
2,,definitely balloon-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely japan-licious,yes,,consonant
2,,probably japan-licious,yes,,
2,,probably japan-alicious,yes,,
2,,definitely japan-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely cologne-licious,yes,,consonant
2,,probably cologne-licious,yes,,
2,,probably cologne-alicious,yes,,
2,,definitely cologne-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely marine-licious,yes,,consonant
2,,probably marine-licious,yes,,
2,,probably marine-alicious,yes,,
2,,definitely marine-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely decade-licious,yes,,consonant
2,,probably decade-licious,yes,,
2,,probably decade-alicious,yes,,
2,,definitely decade-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely secret-licious,yes,,consonant
2,,probably secret-licious,yes,,
2,,probably secret-alicious,yes,,
2,,definitely secret-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely magic-licious,yes,,consonant
2,,probably magic-licious,yes,,
2,,probably magic-alicious,yes,,
2,,definitely magic-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely office-licious,yes,,consonant
2,,probably office-licious,yes,,
2,,probably office-alicious,yes,,
2,,definitely office-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely patrick-licious,yes,,consonant
2,,probably patrick-licious,yes,,
2,,probably patrick-alicious,yes,,
2,,definitely patrick-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely omelet-licious,yes,,consonant
2,,probably omelet-licious,yes,,
2,,probably omelet-alicious,yes,,
2,,definitely omelet-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely chili-licious,yes,,vowel
2,,probably chili-licious,yes,,
2,,probably chili-alicious,yes,,
2,,definitely chili-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely mayo-licious,yes,,vowel
2,,probably mayo-licious,yes,,
2,,probably mayo-alicious,yes,,
2,,definitely mayo-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely hero-licious,yes,,vowel
2,,probably hero-licious,yes,,
2,,probably hero-alicious,yes,,
2,,definitely hero-alicious,yes,,
2,Please say both words aloud. Which one would you say?,definitely china-licious,yes,,schwa
2,,probably china-licious,yes,,
2,,probably china-alicious,yes,,
2,,definitely china-alicious,yes,,
