BLOCK,QUESTION,OPTIONS,BRANCH,EXCLUSIVE,ORDERED,RANDOMIZE,parity,prototypicality,tag,FREETEXT,correlation
_1._1,How good an example of an odd number is the number 3?,Bad,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat bad,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat good,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Good,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
_1._1,How well does the number 3 represent the category of odd numbers?,Poorly,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat poorly,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat well,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Well,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
_1._1,How odd is the number 3?,Not very odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat not odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Very odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
_1._1,How odd is the number 3?,Not at all odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat not odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Somewhat odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
,,Completely odd,NEXT,TRUE,TRUE,TRUE,odd,high,three,,oddhigh
_1._2,How good an example of an odd number is the number 241?,Bad,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat bad,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat good,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Good,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
_1._2,How well does the number 241 represent the category of odd numbers?,Poorly,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat poorly,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat well,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Well,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
_1._2,How odd is the number 241?,Not very odd,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat not odd,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Somewhat odd,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
,,Very odd,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
_1._2,How odd is the number 241?,Not at all odd,NEXT,TRUE,TRUE,TRUE,odd,low,twofortyone,,oddlow
