RANDOMIZE,Block_,Block,Question,Options,Answer Type,Notes/Instructions,exclusive,ordered,SARA NOTES,BRANCH
YES,,1,Please choose one.,Choose me,,,yes,no,,2
YES,,,,Choose me,,,,,,3
NO,1,2.1,In what year were you born?,1900,Drop-down menu,Please order the years with most recent year on top and 1900 on bottom ,yes,yes,,
NO,,,,1901,,,,,,
NO,,,,1902,,,,,,
NO,,,,1903,,,,,,
NO,,,,1904,,,,,,
NO,,,,1905,,,,,,
NO,,,,1906,,,,,,
NO,,,,1907,,,,,,
NO,,,,1908,,,,,,
NO,,,,1909,,,,,,
NO,,,,1910,,,,,,
NO,,,,1911,,,,,,
NO,,,,1912,,,,,,
NO,,,,1913,,,,,,
NO,,,,1914,,,,,,
NO,,,,1915,,,,,,
NO,,,,1916,,,,,,
NO,,,,1917,,,,,,
NO,,,,1918,,,,,,
NO,,,,1919,,,,,,
NO,,,,1920,,,,,,
NO,,,,1921,,,,,,
NO,,,,1922,,,,,,
NO,,,,1923,,,,,,
NO,,,,1924,,,,,,
NO,,,,1925,,,,,,
NO,,,,1926,,,,,,
NO,,,,1927,,,,,,
NO,,,,1928,,,,,,
NO,,,,1929,,,,,,
NO,,,,1930,,,,,,
NO,,,,1931,,,,,,
NO,,,,1932,,,,,,
NO,,,,1933,,,,,,
NO,,,,1934,,,,,,
NO,,,,1935,,,,,,
NO,,,,1936,,,,,,
NO,,,,1937,,,,,,
NO,,,,1938,,,,,,
NO,,,,1939,,,,,,
NO,,,,1940,,,,,,
NO,,,,1941,,,,,,
NO,,,,1942,,,,,,
NO,,,,1943,,,,,,
NO,,,,1944,,,,,,
NO,,,,1945,,,,,,
NO,,,,1946,,,,,,
NO,,,,1947,,,,,,
NO,,,,1948,,,,,,
NO,,,,1949,,,,,,
NO,,,,1950,,,,,,
NO,,,,1951,,,,,,
NO,,,,1952,,,,,,
NO,,,,1953,,,,,,
NO,,,,1954,,,,,,
NO,,,,1955,,,,,,
NO,,,,1956,,,,,,
NO,,,,1957,,,,,,
NO,,,,1958,,,,,,
NO,,,,1959,,,,,,
NO,,,,1960,,,,,,
NO,,,,1961,,,,,,
NO,,,,1962,,,,,,
NO,,,,1963,,,,,,
NO,,,,1964,,,,,,
NO,,,,1965,,,,,,
NO,,,,1966,,,,,,
NO,,,,1967,,,,,,
NO,,,,1968,,,,,,
NO,,,,1969,,,,,,
NO,,,,1970,,,,,,
NO,,,,1971,,,,,,
NO,,,,1972,,,,,,
NO,,,,1973,,,,,,
NO,,,,1974,,,,,,
NO,,,,1975,,,,,,
NO,,,,1976,,,,,,
NO,,,,1977,,,,,,
NO,,,,1978,,,,,,
NO,,,,1979,,,,,,
NO,,,,1980,,,,,,
NO,,,,1981,,,,,,
NO,,,,1982,,,,,,
NO,,,,1983,,,,,,
NO,,,,1984,,,,,,
NO,,,,1985,,,,,,
NO,,,,1986,,,,,,
NO,,,,1987,,,,,,
NO,,,,1988,,,,,,
NO,,,,1989,,,,,,
NO,,,,1990,,,,,,
NO,,,,1991,,,,,,
NO,,,,1992,,,,,,
NO,,,,1993,,,,,,
NO,,,,1994,,,,,,
NO,,,,1995,,,,,,
NO,,,,1996,,,,,,
NO,2,2.2,What is your gender?,Male,,,yes,yes,Question #2/Block 1 ,
NO,,,,Female,,,,,,
NO,,,,Transgender,,,,,,
NO,,,,Other,,,,,,
NO,3,2.3,Is English your first language?,No,,,yes,yes,Question #3/Block 1,
NO,,,,Yes,,,,,,
NO,4,2.4,In which country do you live in now?,India,,,yes,yes,Question #4/Block 1,
NO,,,,United States,,,,,,
NO,,,,Other,,,,,,
NO,5,2.5,In which country were you born?,India,,,yes,yes,Question #5/Block 1,
NO,,,,United States,,,,,,
NO,,,,Other,,,,,,
NO,6,2.6,What is your race? (Please mark all that apply),White,,,no,yes,Question #6/Block 1,
NO,,,,Black and/or African American,,,,,,
NO,,,,American Indian/Native American and/or Alaska Native,,,,,,
NO,,,,Spanish/Hispanic/Latino/a,,,,,,
NO,,,,"Mexican, Mexican American, or Chicano/a",,,,,,
NO,,,,"Asian (such as Thai, Indian, Chinese, Japanese, Vietnamese)",,,,,,
NO,,,,Native Hawaiian and/or other Pacific Islander,,,,,,
NO,,,,Other,,,,,,
NO,,,,Decline to respond,,,,,,
NO,7,2.7,What is the highest level of education you have completed?,Less than high school,,,yes,yes,Question #7/Block 1,
NO,,,,"Some high school, no diploma",,,,,,
NO,,,,High school diploma,,,,,,
NO,,,,"Some college, no degree",,,,,,
NO,,,,Associate's degree,,,,,,
NO,,,,Bachelor's degree,,,,,,
NO,,,,B. Tech,,,,,,
NO,,,,"Some graduate school, no degree",,,,,,
NO,,,,Master's Degreee,,,,,,
NO,,,,PhD,,,,,,
NO,8,2.8,Do you own a computer at home?,Yes,,,yes,yes,Block 2,
NO,,,,No,,,,,,
NO,9,2.9,Do you own a personal mobile phone?,Yes,,,yes,yes,Block 2,
NO,,,,No,,,,,,
NO,10,2.10,What is your current employment status? ,Working full-time in paid employment (35 hours or more per week),,,yes,yes,Question #8/Block 2,
NO,,,,Working part-time in paid employment (35 hours or less per week),,,,,,
NO,,,,Self-employed (35 hours or more per week),,,,,,
NO,,,,Self-employed (35 hours or less per week),,,,,,
NO,11,2.11,How many jobs do you currently have?,I do not currently have a job,,,yes,yes,Question #9/Block 2,
NO,,,,1,,,,,,
NO,,,,2,,,,,,
NO,,,,3,,,,,,
NO,,,,4,,,,,,
